Yeast Gene,Arabidopsis thaliana,Neocallimastix frontalis,Glomus intraradices,Schizosaccharomyces pombe,Saccharomyces cerevisiae,Yarrowia lipolytica,Neurospora crassa,Ustilago maydis,Candida albicans,Schistosoma mansoni,Caenorhabditis elegans,Aedes aegypti,Drosophila melanogaster,Strongylocentrotus purpuratus,Ciona intestinalis,Danio rerio,Xenopus laevis,Gallus gallus,Macaca mulatta,Pan troglodytes,Homo sapiens,Canis lupus familiaris,Oryctolagus cuniculus,Mus musculus,Rattus norvegicus,
P41912,,,,,"P41912",,,,"Q5A1U8",,,,,,,,,,,,,,,,,
P19516,,,,,,,,,,,,,,,,,,,,,,,,,,
P32317,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12082,,,,,,,,,,,,,,,,,,,,,,,,,,
P09032,,,,,"P09032",,,,,,,,,,,,,,,,,,,,,
P38112,,,,,"P38112",,"Q7RZH4",,,,,"Q16XX2","Q9V915",,,,,,,,"Q4V9L5",,,,,
Q12202,,,,,,,,,,,,,,,,,,,,,,,,,,
P53628,,,,,"P53628",,,,,,,,,,,,,,,,,,,,,
P38352,,,,,"P38352","Q6C641",,,"Q5A8J6",,,,,,,,,,,,,,,,,
P53966,,,,,"P53966",,,,,,,,,,,,,,,,,,,,,
Q03796,,,,,"Q03796",,,,"Q5ALN0",,,,,,,,,,,,,,,,,
P38278,,,,"Q9UUH2","P38278","Q6BZX8","Q7SBS8",,"Q59ZI0",,,,,,,,,,,,,,,,,
P38748,,,,"O13747","P38748;Q6Q5F9",,,,"Q5ALK2",,,,,,,,,,,,,,,,,
P36091,,,,,"Q66R60;P36091",,,,"Q5AD78",,,,,,,,,,,,,,,,,
P49367,,,,"Q9UT74","P49367","Q6C791","Q870W1",,"Q5A644",,,,,,,,,"Q9I862",,,"Q8WVK6",,,,,
P33750,"Q8W4D9;Q93VK1",,,"O74340","P33750","Q6C949","Q9P5Z5","Q4PE67","Q5A7Q9",,"Q23494","Q16FM6","Q9VUN7",,,"Q803X4","Q7ZYQ6","Q5ZLK1",,,"Q9NV06",,,"Q6PAC3",,
P39959,,,,,"P39959",,,,,,,,,,,,,,,,,,,,,
Q08280,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99394,,,,"Q09784","Q99394",,,,"Q5AH42",,,,,,,,,,,,,,,,,
Q02732,,,,,"Q02732",,,,,,,,,,,,,,,,,,,,,
P40187,,,,,"P40187;Q66R74",,,,,,,,,,,,,,,,,,,,,
P47083,,,,"O13910","P47083","Q6CF59","Q6M909;Q7RZB5",,"Q59L68;Q59L48",,,"Q17L25","Q9VLK1",,,,,,,,"O00566",,,"Q810V0",,
P25381,,,,,"P25381",,,,,,,,,,,,,,,,,,,,,
P04912,,,,,"P04911;P04912",,,,,,,,,,,,,,,,,,,,,
P25356,,,,,"P25356","Q6C727","Q7SHY2","Q4P7N0","Q5AAY8;Q5AAQ0",,,,,,,,,,,,,,,,,
Q8TGU6,,,,,,,,,,,,,,,,,,,,,,,,,,
P53200,"Q93Z55",,,,"P53200","Q6CB31",,,"Q5A653",,"Q5WRN3","Q17K09","Q9VMH7",,,"Q6NYP8","Q6GN98","Q5ZKT6",,,"B5G4V1;Q8WVE0;B2RE94",,,"Q9CY45","B5DEG5",
P47053,,,,,,,,,,,,,,,,,,,,,,,,,,
P15703,,,,"O13990","P15703","Q6CFU7",,,"Q5AMT2;P43070",,,,,,,,,,,,,,,,,
P54114,,,,"Q9URW9","P47771;P54114",,"Q7RYT1",,,,,,,,,,,,,,,,,,,
P53332,"Q9ZPV8",,,"Q10350","P53332",,,,"Q59XT1",,"Q9BL56",,,,,,,,,,,,,,,
P37370,,,,,"Q07229;P37370",,,,,,,,,,,,,,,,,,,,,
P47086,,,,,,,,,,,,,,,,,,,,,,,,,,
P36169,,,,,"P36169",,,,,,,,,,,,,,,,,,,,,
Q04052,,,,,"Q04052","Q6CBH8","Q7RXR4",,"Q5AI40",,,,,,,,,,,,,,,,,
P54786,,,,,,,,,,,,,,,,,,,,,,,,,,
P17629,,,,,"P17629",,,,,,,,,,,,,,,,,,,,,
P33317,"Q9STG6",,,"Q9P6Q5","P33317","Q6C141","Q6MVL2",,"P43058",,,,,,,,,,,,,,,,,
P53038,,,,,"P53038",,,,,,,,,,,,,,,,,,,,,
P02406,,,,"P57728;P36585","P02406","Q6CDU7","P08978",,,,,,,,,,,,,,,,,,,
P61864,,,,"Q9HDZ4;P0C014","P61864","Q6C290",,,"O60036",,,,,,,,,,,,,,,,,
Q12162,,,,,"Q04706;O74302;Q12217;Q03964;Q12266;Q12162;O13528;Q04215;Q12391;Q12085;Q99209;P47099;Q12441;Q03856;Q92392;Q6Q5H1;P08405;Q12470;Q12231;Q12485;P47097",,,,,,,,,,,,,,,,,,,,,
P46969,"Q9SGI6;Q9C8T3;Q94K13",,,"O14105","P46969","Q6CC71","P05035",,"Q5AFG0",,,,,,,,,,,,,,,,,
P38866,,,,,"P38866",,,,,,,,,,,,,,,,,,,,,
P08638,,,,,"P08638","Q6C954","Q7RZM1;Q7SDB6",,"Q5AGU1;Q5AGF5",,,,,,,,,,,,,,,,,
P15303,,,,,"P15303",,,,,,,,,,,,,,,,,,,,,
P20433,,,,"O74825","P20433","Q6CC37","Q7SCW6",,"Q59LI7",,,,,,,,,,,,,,,,,
Q04371,,,,,,,,,,,,,,,,,,,,,,,,,,
P38843,,,,,"P38843","Q6C8U1","Q7SB92",,"Q5AA40",,,,,,,,,,,,,,,,,
Q12001,,,,"O43053","Q12001;Q6B235",,,,,,,,,,,,,,,,,,,,,
Q03280,,,,"O13834","Q03280","Q6CFL1","Q9P4Z1","Q4P8X1","Q5A0N5",,,,,,,,,,,,,,,,,
P40021,,,,,"P40021",,,,,,,,,,,,,,,,,,,,,
P13186,,,,"P22987","P13186",,,,,,,,,,,,,,,,,,,,,
P40510,,,,"P87228","P40510;P40054;A0SXJ4","Q6C284","Q7RWH3;Q871M4","Q4PF80","Q5A3K7",,,,,,,,,,,,,,,,,
Q07988,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08774,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E746,,,,,,,,,,,,,,,,,,,,,,,,,,
P08004,,,,,"P08004",,,,,,,,,,,,,,,,,,,,,
P09368,"Q944L2;Q6NKX1",,,,"P09368","Q6CF75","Q7SHG8",,"Q5AGP1;Q5AGA5",,,,,,,,,,,,"Q9UF12",,,"Q8VCZ9","Q2V057",
Q12050,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04632,,,,,,,,,,,,,,,,,,,,,,,,,,
P38790,,,,"Q9Y814","P38790","Q6CGI2",,,"Q5AFD7",,,,,,,,,,,,,,,,,
Q02486,,,,,"P33417;Q02486",,,,,,,,,,,,,,,,,,,,,
Q08237,"Q9LK97;Q8LAA0",,,"O94375","Q08237","Q6CE69",,"Q4PER6","Q5A3Q0",,"Q9XXI3",,,,,"A3KH10;A2CF13",,,,,"Q9GZR2",,,,,
P03965,,,,"O94313","P03965","Q6CAV8","Q7SH52",,"Q5A8A6",,,,,,,,,,,,,,,,,
P24813,,,,,"P24813",,,,"O94118;Q5AJU7",,,,,,,,,,,,,,,,,
P33760,"Q8RY16",,,"O13764","P33760","P36966","Q7SGP2","Q4PBU2","Q59ZE6",,"O16270",,,,,,,,,,"Q8WYQ1;Q13608",,,"Q99LC9","P54777",
P40449,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08193,,,,"Q9Y7Y7;O13692","Q08193",,,,,,,,,,,,,,,,,,,,,
P04161,,,,"Q9UUK7","P04161","Q6CAG1","Q7SD96",,"Q5A0T9;Q5A0M2",,,,,,,,,,,,,,,,,
P39076,"Q940P8",,,"Q10147","P39076","Q6C224","Q7S465","Q4P0X8","Q59YC4",,"P47207",,"A4V464;Q9W392",,,"Q6PBW6;Q8JHH0","Q8AVB7","Q5F424",,,"P78371;A8K402",,,"Q542X7;P80314;Q9CS06","Q5XIM9",
P34167,,,,,"P34167",,,,"Q5A4L8",,,,,,,,,,,,,,,,,
P87287,,,,,,,,,,,,,,,,,,,,,,,,,,
P31116,,,,"O94671","P31116;A0SXJ9","Q6CAP2","Q7RZC2",,"Q5AIA2",,,,,,,,,,,,,,,,,
Q12084,,,,,"Q12084",,,,,,,,,,,,,,,,,,,,,
Q3E7Z9,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08270,,,,,,,,,,,,,,,,,,,,,,,,,,
P39717,,,,,"P39717",,,,,,,,,,,,,,,,,,,,,
Q03750,,,,,,,,,,,,,,,,,,,,,,,,,,
P38340,"Q5PP70;Q9FI20",,,"O13748","P38340","Q6CI87","Q9P6Y1",,,,,,"Q9V5C9",,,,,,,,,,,,,
P21827,,,,"P28745","P21827","Q6CH27","Q9P3R6;Q7S6S6",,"Q9HF93;Q3MP75;O94013;P52499",,,,,,,"Q6NY65","Q6IRM1;Q6IP87;Q08B75;P25183;Q32N89",,,,"P18754;Q5T081;Q6NT97",,,"Q8VE37;Q3U6D2;Q6PFB2",,
P02405,,,,,"P02405",,,,,,,,,,,,,,,,,,,,,
P04807,,,,,"P04807",,,,,,,,"Q9GQS3",,,,,,,,"P19367;Q2TB90",,,,,
Q12361,,,,,"Q12361",,,,"Q8J2T2",,,,,,,,,,,,,,,,,
P07215,,,,,"P07215",,,,,,,,,,,,,,,,,,,,,
Q12045,,,,,"Q12045",,,,,,,,,,,,,,,,,,,"Q9JJ11",,
P47187,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02793,,,,,"Q02793",,"Q7RVN5;Q9HFL1","Q4P7X9","Q5A8I4",,,,,,,,,,,,,,,,,
Q06218,,,,,,,,,,,,,,,,,,,,,,,,,,
P53053,,,,,,,,,,,,,,,,,,,,,,,,,,
P32375,"Q94AP0;Q8LCA4",,,,"P32375","Q6C0N2",,,,,,"Q171F8","Q9VWW1;Q7JZT9",,,"Q5PR45",,,,,,,,,,
Q3E776,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06324,,,,,,,,,,,,,,,,,,,,,,,,,,
P53264,,,,,,,,,,,,,,,,,,,,,,,,,,
P47065,,,,,"P47065",,,,,,,,,,,,,,,,,,,,,
P80967,,,,,,,,,,,,,,,,,,,,,,,,,,
P38786,,,,"P87120","P38786","Q6C4I1",,,,,,"Q17IV6","Q9VPM0",,,"Q5BJK2","Q63ZS6",,,,"Q5VU10;P78346;Q5VU11",,,"Q6P6M0;O88796;Q3TF81",,
P04050,"P18616",,,"P36594","P04050",,"Q7SDN0","Q4P7Q0",,,"P16356",,"P04052",,,,,,,,,,,"P08775",,
P16474,,,,"P36604","P16474","Q99170","P78695",,"Q5AD54;Q5ADI3",,,,,,,,,,,,,,,,,
P39529,,,,,"P39529",,,"Q4P427",,,,,,,,,,,,,,,,,,
Q08387,,,,"O74833","Q08387","Q6C8A3","Q7SB49",,"P52496",,,,"Q9VYA5;Q8MS06",,,,"Q6GLS1;Q8UVU0","Q90YB1",,,"P49917",,,"Q8BTF7",,
P32599,,,,"O59945","P32599","Q6CE89","Q7RVP7","Q4P545",,,"Q965Y6",,"O61604",,,,,,,,,,,,,
P14907,,,,,"P14907",,,,,,,,,,,,,,,,,,,,,
P40564,,,,,"P40564",,"Q7S4Z8",,,,,,,,,,,,,,,,,,,
P26309,,,,,"P26309","Q6CD67","Q7SG04;Q6MV52",,"Q59WS9;Q59XN4",,,,,,,,,,,,,,,,,
P22140,,,,,"P22140",,,,,,,,,,,,,,,,,,,,,
Q04651,,,,"O94283","Q04651",,"Q9HEB8",,,,,,,,,,,,,,,,,,,
Q08110,,,,,,,,,,,,,,,,,,,,,,,,,,
P17505,,,,"Q9Y7R8","P22133;P17505;Q6Q5N4;P32419",,"Q7S1D6",,,,,,,,,,,,,,,,,,,
P53108,,,,,,,,,,,,,,,,,,,,,,,,,,
P35056,,,,"O94325","P35056","Q99144","Q7SH09;Q6MVP2","Q4PBI5",,,,,,,,,,,,,"Q15006",,,"Q9CRD2",,
P34219,,,,,"P40059;P34219",,,,,,,,,,,,,,,,,,,,,
P07269,,,,,,,,,,,,,,,,,,,,,,,,,,
P40561,,,,,"P40561",,"Q7RZB6",,,,"Q09295",,,,,,,,,,,,,,,
P32643,,,,,"P32643",,,,,,,,,,,,,,,,,,,,,
P05737,"Q9SAI5",,,"O60143;P25457","P05737;Q12213","Q6C603","Q7SBD5","Q4P8I5",,,"O01802",,,,,,,,,,,,,,,
Q99186,"O23140",,,"Q09718","Q99186","Q6CC50","Q872J2","Q4P9R9","Q5A2L1",,,,,,,,,,,,,,,,,
P32316,,,,"Q9UUJ9","P32316","Q6C3Z9","P15937",,"Q59YK9",,,,,,,,,,,,,,,,,
P02309,,,,"P09322","P02309",,"P04914",,,,,,,,,,,,,,,,,,,
Q04934,,,,,"Q04934","Q6CD71",,,,,,,,,,,,,,,,,,,,
Q12006,,,,,,,,,,,,,,,,,,,,,,,,,,
P43565,,,,,"P43565","Q6C1N7",,,,,,,,,,,,,,,,,,,,
Q08743,,,,,"Q08743","Q6CFP2",,,"Q59NL0",,,,,,,,,,,,,,,,,
P36119,,,,,"P36119",,,,,,,,,,,,,,,,,,,,,
Q3E810,,,,,,,,,,,,,,,,,,,,,,,,,,
O93938,,,,,"O93938;P53386","Q6C3A8","Q7SGN1",,,,,,,,,,,,,,,,"O46425",,,
Q06135,,,,,"Q06135",,,,,,,,,,,,,,,,,,,,,
P39520,,,,,"P39520",,,,,,,,,,,,,,,,,,,,,
P14832,,,,"P18253","P14832","Q6CCD9",,,"P22011",,,,,,,,,,,,,,,,,
Q04216,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E7Z8,,,,,,,,,,,,,,,,,,,,,,,,,,
P43621,,,,,"P43621","Q6C3S2","Q7RWT5","Q4PBN7","Q5AGE3",,,,"Q9W555",,,,,,,,,,,,,
P43562,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01684,,,,,,,,,,,,,,,,,,,,,,,,,,
P39979,,,,,"P39979;Q06592","Q6CDY1",,,"Q59L94",,,,,,,,,,,,,,,,,
P40202,"Q4ZJI5;Q94A55;Q9SPD6;Q9LD47;Q67Y08;O65325",,,,"P40202","Q6BZU2",,,"Q59WC0",,,"Q16MA8;Q16VS8","Q9BLY4",,,,,,,,"O14618",,,"Q9WU84","Q9JK72",
Q01389,,,,,,,,,,,,,,,,,,,,,,,,,,
P33307,"Q9ZPY7;Q8GZ12",,,"Q9USC9;O13671","P33307","Q6C6Q8","Q871I6","Q4P9W7","Q5A478",,"Q965V4","Q16XY2","Q9XZU1",,,"Q7SZC2","Q6GMY9",,,,"P55060",,,"A2A5S1;Q9ERK4",,
P43601,,,,,"P43601",,,,"Q5ABA6",,,,,,,,,,,,,,,,,
P07834,,,,"O14170;P87060","P07834","Q6C5T6","Q7S2D9",,"P53699;Q5A9A6",,,,,,,,"Q0Z849",,,,"Q969H0",,,,,
P28817,,,,,"P28817","Q6CA37","Q9C251",,"Q5AI24",,,,,,,,,,,,,,,,,
P32610,,,,"O59823","P32610","Q6CAR5","O59941","Q4P6U6","Q5A1C4;P87220",,,,,,,,,,,,,,,,,
Q12078,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08457,,,,,,,,,,,,,,,,,,,,,,,,,,
P46982,,,,,"P46982",,,,,,,,,,,,,,,,,,,,,
Q08902,,,,,"Q08902",,,,,,,,,,,,,,,,,,,,,
Q06106,"Q9SN69",,,"O13620","Q06106","Q6CEW9","Q7SG09","Q4PC17","Q5AJS6",,"Q9XU67","Q17DU7","Q8MYR4",,,"Q6DRI6","Q63ZN5",,,,"Q9Y4C8",,,"Q8R3C6",,
Q3E7Z0,,,,,,,,,,,,,,,,,,,,,,,,,,
P36134,,,,,,,,,,,,,,,,,,,,,,,,,,
P36035,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08971,,,,,,,,,,,,,,,,,,,,,,,,,,
P43543,,,,,"P43543",,,,"Q5ALX7",,,,,,,,,,,,,,,,,
P40207,,,,,"P40207",,,,"Q5A6G6;Q5A686",,,,,,,,,,,,,,,,,
P18238,,,,,"P18238",,,,,,,,,,,,,,,,,,,,,
Q12166,,,,,"Q12166;P06208",,,,,,,,,,,,,,,,,,,,,
Q02554,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08826,,,,"O94291","Q08826","Q6C2S9","Q7SH92","Q4P1V3","Q5A748",,,,,,,,,,,,,,,,,
P21801,,,,"P21911","P21801","Q6C823","Q7SGG3","P32420","Q59QN7",,"Q09545","Q16TA7","P21914",,,,"Q3B8J8","Q9YHT2",,,"Q0QEY7;P21912","Q0QEY4","Q0QEY9","Q9CQA3;Q0QEZ4;Q3TE45","P21913",
Q92316,,,,,,,,,,,,,,,,,,,,,,,,,,
P32797,,,,,"P32797",,,,,,,,,,,,,,,,,,,,,
P33302,,,,,"P33302",,,,,,,,,,,,,,,,,,,,,
P40340,,,,"O14114","P40340","Q6C0M5","Q7RYJ0",,"Q5AK72",,,,,,,,,,,,,,,,,
P25555,,,,,"P25555",,,,,,,,,,,,,,,,,,,,,
P11484,,,,"Q10284","P11484;P40150","Q6CIA7","Q7RW06",,"P87222",,,,,,,,,,,,,,,,,
P32288,,,,"Q09179","P32288","Q6C3E0",,,,,,,,,,,,,,,,,,,,
P50087,,,,,"P50087",,"Q7SEZ9",,,,,,,,,,,,,,,,,,,
P32527,,,,"Q9Y7I8","P32527","Q6CI89","Q9P3Q8","Q4PG99","Q5AF98",,,,,,,,,,,,,,,"P54103",,
P38771,,,,"O74734","P38771",,"Q7SG48",,,,,,,,,,,,,,,,,,,
P40165,,,,"O13725","P40165","Q6CDL0","Q7SGL3",,,,"Q9XW15",,,,,"Q1LVI2",,,,,"A6XGL0",,,"Q8R2K0",,
Q03220,,,,,,,,,,,,,,,,,,,,,,,,,,
P53259,,,,"O14364","P53259","Q6CDJ9","Q7SDT0","Q4PCN6","Q5AJS7",,,,,,,,,,,,,,,,,
P25607,,,,,,,,,,,,,,,,,,,,,,,,,,
P54862,,,,,"P54862;P40885",,,,,,,,,,,,,,,,,,,,,
P32466,,,,,"P32465;A8W7W6;P32466",,,,,,,,,,,,,,,,,,,,,
Q03702,,,,"Q10423","Q03702","Q6C6K2","Q873E9",,"Q5A864",,,,,,,,,,,,,,,,,
Q12141,,,,,,,,,,,,,,,,,,,,,,,,,,
P38253,,,,,,,,,,,,,,,,,,,,,,,,,,
P37898,,,,,"P37898",,,,,,,,,,,,,,,,,,,,,
P38810,,,,"Q9USS7","P38810","Q6C5Y6","Q7S0J9","Q4PBY5","Q5AHB6",,"Q19371",,,,,,,,,,,,,,,
P40029,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03630,,,,"Q9UT70","Q03630","Q6CF47","Q7SBJ4",,"Q5AEG6",,,,,,,,,,,,,,,,,
P53898,,,,,"P53898",,,,"Q5AEY0;Q5AEJ5",,,,,,,,,,,,,,,,,
P13483,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12239,,,,,,,,,,,,,,,,,,,,,,,,,,
P53119,,,,,"P53119","Q6CGC9","Q7S6N5","Q4PHJ7",,,"Q9XXE6",,,,,,,,,,"Q7Z3V4",,,"Q9ES34",,
P38235,,,,,"P38235","Q6C2H1","Q7RZN8",,"P56553",,,,,,,,,,,,,,,,,
P16547,,,,,,,,,,,,,,,,,,,,,,,,,,
P26785,,,,"O42848;O42991;O43004","P26785;P26784","Q6CCI0","Q9P720","Q4PG37",,,,,,,,,,,,,,,,,,
Q12031,,,,,"Q12031","Q6BZP5","Q7SG83","Q4PDC1",,,,,,,,,,,,,,,,,,
P35842,,,,,"P00635;P24031;P35842;P52290;P38693",,,,,,,,,,,,,,,,,,,,,
P53691,,,,"Q11004","P53691","Q6CBP4","Q9P3X9","Q4P0V4","Q5ACI8",,,,,,,,,,,,,,,,,
P39944,,,,,"P39944",,,,,,,,,,,,,,,,,,,,,
P20052,,,,,"P20052",,,,,,,,,,,,,,,,,,,,,
P47088,"Q0WVX1;Q500W7",,,,"P47088","Q6CGA3","Q7S4Z3",,"Q5AMR5",,"Q17515",,,,,"Q7T310",,"Q5F380",,,"Q9H3S5",,,"Q8C2R7","Q9EQY6",
P53285,,,,,"P53285",,,,,,,,,,,,,,,,,,,,,
P53835,,,,,"P53835","Q6C6L1","Q7S130",,"Q59W55",,,,,,,,,,,,,,,,,
P27705,,,,"O14335","P27705",,,,"Q5AG61;Q9Y7G2",,,,,,,,,,,,,,,,,
Q04489,,,,"O74397","Q04489","Q6C033",,,,,,,"Q5LJP9",,,,,,,,"Q9NWL6",,,"Q8BFS9",,
P38854,,,,,,,,,,,,,,,,,,,,,,,,,,
P39937,"Q8L405;Q8GRL7",,,,"P39937","Q6CGQ1","Q7S2L0",,"Q5A1F7;Q5A198",,"Q20068",,"Q8MT85",,,"Q5U378","Q5U508",,,,"Q15813",,,"Q8R4B8;P58681","Q5FVQ9",
P38326,,,,,"P38326",,"Q7RYI3",,"Q5A8H7",,,,,,,,,,,,,,,,,
Q3E765,,,,,,,,,,,,,,,,,,,,,,,,,,
P43587,,,,,"P43587",,,,"Q59ZU1",,,,,,,,,,,,,,,,,
P38165,,,,,"P38165",,,,,,,,,,,,,,,,,,,,,
P06367,,,,"O14150","P06367",,,,,,,,,,,,,,,,,,,,,
Q03764,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04235,,,,"Q09832","Q04235",,,,"Q5A4G5",,,,,,,,,,,,,,,,,
Q00245,,,,"O13928","Q00245","Q6C1D4","Q7SI51","Q4P743;Q8NJW3","Q2TU56",,,,,,,,,,,,,,,,,
Q12259,,,,,"Q12259",,,,,,,,,,,,,,,,,,,,,
Q3E7A8,,,,,,,,,,,,,,,,,,,,,,,,,,
P12887,,,,"O74834","P12887;Q6B1R0","Q6CAC0","Q7SG58",,"Q5A2Y6",,,,,,,,,,,,,,,,,
Q04299,,,,,"Q04299",,,,"Q59VP3;Q59VT9",,,,,,,,,,,,,,,,,
P33749,,,,,"P33749;P33748",,,,,,,,,,,,,,,,"Q9UPG8",,,,,
Q12358,,,,,"Q12358",,,,"Q59TS7",,,,,,,,,,,,,,,,,
Q12074,,,,"Q09741","Q12074","Q6C3P7","Q9Y8H7",,"Q59Z50",,,,,,,,,,,,,,,,,
Q12242,,,,,"Q12242","Q6C1T3",,,,,,,,,,"Q6NYG6;Q7SXG9",,,,,"Q9H7E2",,,"Q91W18",,
Q08225,,,,,"Q08225","Q6CE11","Q7SH28",,,,,,,,,,,,,,,,,,,
Q04697,,,,,,,,,,,,,,,,,,,,,,,,,,
P47002,,,,,"P47002","Q8WZL2",,,,,,,,,,,,,,,,,,,,
P53107,,,,"Q09721","P53107",,,,"Q5AKX4",,,,,,,,,,,,,,,,,
Q06266,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12314,,,,,"Q12314","Q6CE50","Q871G1","Q4P0B8","Q5A0M8",,,,,,,,,,,,,,,,,
Q12256,,,,,"Q12256",,,,"Q5A6T2",,,,,,,,,,,,,,,,,
Q03494,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08683,,,,,,,,,,,,,,,,,,,,,,,,,,
P36137,,,,"O94401","P36137","Q6CAL8","Q7SBR5","Q4P600","Q5A2K5",,,,,,,,,,,,,,,,,
Q12516,,,,,,,,,,,,,,,,,,,,,,,,,,
P40451,,,,,,,,,,,,,,,,,,,,,,,,,,
P36150,,,,,"A0SXK4;P36150;A0SXK0","Q6CI67","Q7SI49",,"Q5A0K1",,,,,,,,,,,,,,,,,
P40543,,,,,,,,,,,,,,,,,,,,,,,,,,
P50077,,,,"O14234","P50077","Q6C5T4",,,,,,,,,,,,,,,,,,,,
P38880,,,,,"P38880","Q6C7F9","Q7S930",,"Q5AI66;O94022",,,,,,,,,,,,,,,,,
P40471,,,,,"P40471",,,,,,,,,,,,,,,,,,,,,
P32897,,,,"Q9USM7","P32897","Q6C003","Q9C0R0",,"Q59YG5",,,,,,,,,,,,,,,,,
Q3E758,,,,,,,,,,,,,,,,,,,,,,,,,,
P35206,,,,,,,,,,,,,,,,,,,,,,,,,,
P13382,"Q9FHA3",,,"P28040","Q45U05;P13382","Q6C675","Q7SBT9","Q4P5T4","Q5ANM8",,"Q9NAH1","Q16ZB1","P26019",,,"Q6DRM6","Q9DE46","Q59J86",,,"P09884",,,"P33609","O89042",
P41698,,,,,,,,,,,,,,,,,,,,,,,,,,
P25454,,,,"P36601","P25454","Q6C1K4","P87210","Q99133",,,,,"Q27297",,,,"Q91918;Q91917","P37383",,,"Q06609","Q8MKI8","O77507",,,
Q06236,,,,"Q9P7X0","Q06236",,"Q7SGY6","Q4P7R8",,,,,,,,,,,,,,,,,,
P40327,"Q9SZD4;Q9SL67;Q8LAV7",,,"P36612","P40327","Q6C352","Q9P723","Q4PBF1","Q5A7M6",,"O16368",,"P48601",,,"Q7ZWD1","Q7SYS3","Q90732",,,"P62191",,,,,
P53743,"Q6NM71;Q9LXY9",,,"O74362","P53743","Q6CFT1",,,"Q59YL9",,,,,,,"Q503Z6","Q8AVR5",,,,"Q9ULW3",,,"Q9QYL7","Q4KLM5",
P25648,,,,,"P25648",,,,,,,,,,,,,,,,,,,,,
P40052,,,,,,,,,,,,,,,,,,,,,,,,,,
P15424,,,,,"P15424","Q6C2D3",,"Q4P0P9",,,,,,,,,,,,,,,,,,
P38817,,,,"P87157;O13339","P38817;Q06336","Q6C7L1","Q7S5I2","Q4PFW1","Q5AI46",,,,,,,,,,,,,,,,,
P17883,,,,"O94474","P17883","Q6C3F0","Q7S1X7","Q4PHF6","Q5APB7",,,,,,,,,,,,,,,,,
P39105,,,,,"P39105;Q6B2E2",,,,,,,,,,,,,,,,,,,,,
P42933,,,,,,,,,,,,,,,,,,,,,,,,,,
P05150,,,,"P31317","P05150",,"Q9P6B3",,,,,,,,,,,"Q9YHY9",,,,,,"P11725",,
Q04739,,,,,"Q04739",,,,"Q59X47",,,,,,,,,,,,,,,,,
P32588,,,,,"P32588",,"Q7SAS0",,"Q5A4G6",,,,,,,,,,,,,,,,,
Q03099,,,,,,,,,,,,,,,,,,,,,,,,,,
P25384,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12427,,,,,,,,,,,,,,,,,,,,,,,,,,
P53212,,,,,"P53212","Q6C5Q1",,,,,,,,,,,,,,,,,,,,
P14908,,,,"Q9US51","P14908",,"Q7S4T2","Q4P982","Q5ALP7",,"P91424",,,,,,"Q7T0W5",,,,"Q8WVM0",,,"Q8JZM0",,
Q12372,,,,,"Q12372;Q08986",,,,,,,,,,,,,,,,,,,,,
P32807,,,,"O94395","P32807;Q0P782","Q6CCK2","Q7SA95","Q4P415","Q59TV9;Q59KD5;Q59TZ7",,,,,,,,,,,,,,,,,
P42939,,,,,"P42939",,,,,,,,,,,,,,,,,,,,,
Q12477,,,,,"P25693;Q12477",,"Q7S6I8",,,,,,,,,,,,,,,,,,,
P32339,,,,,"P32339","Q6C7U4","Q9C2L6",,"Q5AB97",,,"Q16ZP2","Q9VGJ9",,,,,,,,"P09601",,,,,
P53338,,,,,"P38157;P53338",,,,,,,,,,,,,,,,,,,,,
Q12029,,,,"O13793","Q12029","Q6CEF5","Q7RZY4","Q4P8G8","Q5APF5",,,,,,,,,,,,,,,,,
P47051,,,,"O13629","P47051","Q6CD50","Q9P5N5","Q4P8A2","Q5ABY4",,"O45303","Q170K5","Q8SX78",,,"Q08CP2;Q8AWD3","Q66KR7",,,,"Q4ZFZ1",,,"Q8C894;Q8VCM4",,
Q12454,,,,,"Q12454","Q6CEQ2",,,"Q59ZY5",,,,,,,,,,,,,,,,,
P13134,,,,"Q09175","P13134","P42781","Q7SGV0","Q4PAM0","O13359;Q5APK9",,,,,,,,,,,,,,,,,
P39711,,,,,,,,,,,,,,,,,,,,,,,,,,
