E. coli K12 gene,"Pseudomonas aeruginosa","Pseudomonas fluorescens","Salmonella typhimurium","Yersinia pestis","Vibrio cholerae","Vibrio fischeri ES114","Vibrio fischeri MJ11","Haemophilus influenzae","Rickettsia prowazekii","Helicobacter pylori","Staphylococcus aureus","Bacillus subtilis","Bacillus anthracis","Streptococcus pneumoniae","Deinococcus radiodurans","Chlamydia trachomatis","Chlamydophila pneumoniae","Aquifex aeolicus","Thermotoga maritima","Mycobacterium tuberculosis","Nocardia farcinica","Streptomyces coelicolor","Borrelia burgdorferi","Treponema pallidum","Mycoplasma genitalium","Mycoplasma pneumoniae","Sulfolobus solfataricus","Aeropyrum pernix","Halobacterium salinarum","Pyrococcus furiosus"""
HYPB_ECOLI,,,"Q8ZMI7",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPC_ECOLI,,,"Q7CPX9",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPD_ECOLI,,,"Q8ZMI6",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPE_ECOLI,,,"Q8ZMI5",,,,,,,,,,,,,,,,,,,,,,,,,,"Q9HHP1","Q8U368"""
HYPF_ECOLI,,,"Q8ZMJ5",,,,,,,"O24889",,,,,,,,"O66902",,,,,,,,,,,,
IAAA_ECOLI,,,,,"Q9KNX7",,,,,,,,,,,,,,,,,,,,,,,,,
IADA_ECOLI,,,"Q8ZJZ8",,"CAA13150",,,"P43922",,"O25045",,,,,,,,"O66728",,,,,,,,,,,,
IAP_ECOLI,"Q9I6G3",,"Q8ZMF4",,,,,,,,,,,,,,,,,,,,,,,,,,,
ICC_ECOLI,"Q9HUJ6",,,,"Q9KPD7",,,"P44685",,,,,,,,,,,,,,,,,,,,,,
ICLR_ECOLI,,,"P17430","Q8D1U3",,,,,,,,,,,,,,,,,,,,,,,,,,
IDH_ECOLI,"Q9I0L5",,"Q8ZPZ0","Q8D0Q0;16121909",,,,,,"P56063",,"P39126",,,"Q9RU54",,,,,,,,,,,,"Q97WN0","Q9YE81",,
IDI_ECOLI,,,"Q8ZM82",,,,,,,,,,,,,,,,,"P72002",,,,,,,,,,
IDND_ECOLI,,,"Q8ZK22",,,,,,,,,,,,,,,,,,,"Q9S270",,,,,,,,
IDNK_ECOLI,,,"Q8ZK21","16122758;16124081",,,,,,,,,,,,,,,,,,,,,,,,,,
IDNR_ECOLI,,,"Q8ZK25","16122755",,,,,,,,,,,,,,,,,,,,,,,,,,
IDNT_ECOLI,,,"Q8ZK24",,,,,,,,,,,,,,,,,,,,,,,,,,,
IF2_ECOLI,"Q9HV55",,"Q9ZF31","Q8ZBC2","Q9KU80",,,"P44323",,,,,,,,,,,,,,,,,,,,,,
IF3_ECOLI,,,,"Q8ZDW6","O68844",,,,,,,,,,,,,,,,,,,,,,,,,
IGAA_ECOLI,,,"Q9ACP0","P58722",,,,,,,,,,,,,,,,,,,,,,,,,,
IHFA_ECOLI,,,"96793",,,,,,,,,,,,,,,,,,,,,,,,,,,
ILVB_ECOLI,,,"Q8ZL15","Q8ZE89",,,,,,,,,,,,,,,,,,,,,,,,,,
ILVC_ECOLI,,,"P05989","Q8ZAC2","Q9KVI4;Q0GZP8","Q5E1S3",,"P44822",,,,,,,,,,,,,,,,,,,,,,
ILVD_ECOLI,,,"P40810",,"Q9KVW0","Q5E1P2",,"P44851",,,,,,,,,,,,,,,,,,,,,,
ILVG_ECOLI,,,,"22124253","Q9KVV7","Q5E1P5",,"O05031",,,,,,,,,,,,,,,,,,,,,,
ILVH_ECOLI,,,"P21622","NP_404182;Q8CZQ4",,,,"P45260",,,,,,,,,,,,,,,,,,,,,,
ILVI_ECOLI,,,"P40811","NP_404181;Q8CZQ3","Q9KP90","Q5E2I8",,"P45261",,,,,,,,,,,,,,,,,,,,,,
IMDH_ECOLI,"Q9HXM5",,"Q8ZN59","Q8D0Z1;16123063","Q9KTW3",,,"P44334",,"P56088",,"124423","Q81W29",,"Q9RT87",,,"O67820","Q9X168","P65167",,"Q9L0I7;O86844",,,,,,,,
INTA_ECOLI,,,,"Q8CZZ5;Q0WHU6",,,,,,,,,,,,,,,,,,,,,,,,,,
INTB_ECOLI,,,,"Q8ZBH6/1-419;Q8D1C0",,,,,,,,,,,,,,,,,,,,,,,,,,
IPYR_ECOLI,,,,"Q8ZB98","Q9KP34",,,,,,,,,,,,,,,,,,,,,,,,,
IRAD_ECOLI,,,"Q8ZM27",,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAM_ECOLI,,,"Q9F0N8",,,,,,,,,,,,,,,,,,,,,,,,,,,
ISCA_ECOLI,"Q9HXJ0",,"Q7CQ12","Q8ZCS3","Q9KTY0","Q5E782",,"P44672",,,,,,,,,,,,,,,,,,,,,,
ISCX_ECOLI,,,,,"Q9KTX6","Q5E778",,"P44668",,,,,,,,,,,,,,,,,,,,,,
ISPA_ECOLI,"Q9HWY4",,"Q8ZRD0","16123338","Q9KTL2",,,"P45204",,,,,,,,,,,,,,,,,,,,,,
ISPB_ECOLI,"Q9HVL5",,"Q7CPP6","16123659;Q7CKJ8","Q9KUT1","Q5E874","A9IV98","P44916",,,,,,,,,,,,,,,,,,,,,,
ISPD_ECOLI,"P57707",,"Q8ZMF6",,"Q9KUJ2","Q5E328",,"O05029",,,,"Q06755",,,"Q9RR90","O84468","Q9Z7X5","O67343",,"P96864","Q5Z2R3","Q9L0Q8",,,,,,,,
ISPE_ECOLI,"P42805",,"P30753",,"Q9KQ23",,,"P45271",,,,"P37550","Q81VZ6",,,,,"O67060","Q9X1A3",,,,,,,,,,,
ISPF_ECOLI,"P57708",,"Q8ZMF7","Q8ZBP7","Q9KUJ1","Q5E329",,"P44815",,"O25664",,"Q06756","Q81VV4",,"Q9RXS6","O84441","Q9Z805","O67089","Q9WZB5","P65183",,"Q9L0Q7",,"O83525",,"P75118",,,,
ISPG_ECOLI,,,,,"Q9KTX1","Q5E772",,"P44667",,,,,,,,,,,,,,,,,,,,,,
K6PF1_ECOLI,,,"P65692","Q8ZJL6","Q9KNP2","Q5E2B1",,"P43863",,,,,,,,,,,,,,,,,,,,,,
K6PF2_ECOLI,,,"Q8ZPT5",,,,,,,,,,,,,,,,,"O86352",,,,,,,,,,
KAD_ECOLI,"Q9HXV4",,"P0A1V4","O69172","Q9KTB7","Q5E6Q8",,"Q99QD4;P24323;Q83V90","Q9ZCS6","P56104",,,"Q81VQ9",,,,"Q9Z8U0","O66490","Q9X1I8",,,,,,,"Q50299",,,"2129404","Q8U207"""
KBAZ_ECOLI,,,,"Q74QF5",,"Q5DYS1",,,,,,,,,,,,,,,,"O50522",,,,,,,,
KBL_ECOLI,,,"P37419","Q74YA0;Q8ZJN3;Q8CWI4",,,,,,,,,,,,,,,,,,,,,,,,,,
KCH_ECOLI,,,,"16122880",,,,,,,,,,,,,,,,,,,,,,,,,"Q9HP16",
KCY_ECOLI,"Q9HZ70",,"Q8ZQC4","Q8ZGB3","Q9KQT2","Q5E3Z1",,,,,,,,,,,,,,,,,,,,,,,,
KDGK_ECOLI,,,"Q8ZLC0","NP_407430;16124117",,,,,,,,,,,,,,,,,,,,,,,,,,
KDPD_ECOLI,,,"Q8ZQW4",,,,,,,,,,,,,,,,,,,,,,,,,,,
KDPE_ECOLI,,,"Q8ZQW5","Q8ZDA0",,,,,,,,,,,,,,,,"P96373","Q5YZH5",,,,,,,,,
KDSA_ECOLI,,,,"Q8ZEX4","Q9KQ29","Q5E6S9",,"P45251",,,,,,,,,,,,,,,,,,,,,,
KDSB_ECOLI,"Q9HZM5",,"Q8ZQC0","Q8ZGA4","Q9KQX2","Q5E0E9",,"P44490",,,,,,,,,,,,,,,,,,,,,,
KDSC_ECOLI,"Q9HVV9",,,"Q8ZB47","Q9KP52",,,"P45314",,,,,,,,,,"O67920",,,,"Q9AK46",,,,,,,,
KDSD_ECOLI,"Q9HVW0",,"Q8ZLS1","Q8D1Q8","Q9KP53","Q5E7V9",,,,,,,,,,"O84404","Q9Z826","O67500",,,,,,,,,,,,
KDUD_ECOLI,,,"Q8ZM99","Q8ZFH9;Q8D0N4",,,,,,,,,,,,,,,,,,,,,,,,,,
KDUI_ECOLI,,,"Q8ZM98",,,,,,,,,,,,,,,,,,,,,,,,,,,
KEFA_ECOLI,"Q9HUE7",,"Q8ZRA5","Q7CK12;Q74WP6",,,,"Q57362",,,,,,,,,,,,,,,,,,,,,,
KEFB_ECOLI,,,"Q8ZLL3","Q8ZJC4","Q9KNX4","Q5E8D0",,,,,,,,,,,,,,,,,,,,,,,,
KEFC_ECOLI,,,"Q8ZRW2",,,,,,,,,,,,,,,,,,,,,,,,,,,
KGUA_ECOLI,"Q9HTM2",,"Q9X6M5","Q8ZJQ2","Q9KNM4","Q5E8P5",,"P44310","Q9ZCH7",,"Q8KRL7","O34328","Q81WG7","Q97PA3",,,,,,"P0A5I4",,"Q9KXS0",,,,,,,,
KHSE_ECOLI,,,,"Q8ZIN5","Q9KPK4",,,"P44504",,,,,,,,,,,,,,,,,,,,,"Q9HP55",
KPPR_ECOLI,,,,"Q0WKC6;Q8CZJ2","Q9KNW7",,,,,,,,,,,,,,,,,,,,,,,,,
KPRS_ECOLI,"Q9HVC5",,,"Q8ZEY2","Q9KQ22",,,"P44328",,"P56184",,,,,,,,,,,,,,,,,,,,
KPTA_ECOLI,"Q9I778",,,,,,,,,,,,,,,,,,,,,"Q9ZBX9",,,,,,,,
KPYK1_ECOLI,,,"P77983","Q7CIS8;16122616","Q9KUN0","Q5E2J3","A9ILI3",,,,,,,,,,,,,,,,,,,,,,,
KPYK2_ECOLI,,,"Q8ZNW0","16122303","Q9KQJ0",,,"P43924",,,,,,,,,,,,,,,,,,,,,,
KSGA_ECOLI,,,,,,,,,,,"P02979",,,,,,,,,,,,,,,,,,,
KTHY_ECOLI,"Q9HZN8",,"P65246","O69169","Q9KQI2","Q5E416",,"P44719","Q9ZCN9","O26009",,"P37537","Q81W11","Q97R91","Q9RY40","O84191","Q9Z8R5","O67099","Q9X0I3",,,"Q9X908",,,"P47252","P75106",,,"Q9HNV4",
LAMB_ECOLI,,,"P26466","Q8ZAS9",,,,,,,,,,,,,,,,,,,,,,,,,,
LCFA_ECOLI,,,"P63521","Q8ZES9","Q9KQL3","Q5E443",,"P46450",,,,,,,,,,,,,,,,,,,,,,
LDCA_ECOLI,,,"Q8ZP18",,,,,,,,,,,,,,,,,,,,,,,,,,,
LEPA_ECOLI,"Q9I5G8",,,"Q8ZD74","Q9KPB0",,,"P43729",,,,,,,,,,,,,,,,,,,,,,
LEP_ECOLI,,,,"Q7CJQ5",,,,,,,,,,,,,,,,,,,,,,,,,,
LEU1_ECOLI,,,"P15875",,"Q9KP83","Q5E856",,"P43861",,,,"P94565",,,"Q9RUA9",,,"O67862","Q9WZ23",,,,,,,,,,,"Q8U2A2"""
LEU3_ECOLI,"Q51375",,"P37412","Q8ZIG9","Q9KP82","Q5E857",,"P43860",,,,"P05645",,,,,,"O66607","Q9WZ26",,,,,,,,,,,
LEUD_ECOLI,,,"P04787","Q8ZIH1","Q9KP80","Q5E859",,"P44438",,,,,,,,,,,,,,,,,,,,,,
LEUE_ECOLI,"P38102",,"Q7CQP8",,,,,,,,,,,,,,,,,,,,,,,,,,,
LEUO_ECOLI,,,"Q9X4P8;P46924","Q8CZQ2","Q9KP88","Q5E2I6",,,,,,,,,,,,,,,,,,,,,,,,
LEXA_ECOLI,"P37452",,"73007;P0A273","Q8ZJ16","Q9KVP9","Q5E209",,"P44858;1074965",,,,,,,,,,,,,,,,,,,,,,
LGUL_ECOLI,"Q9HU72",,"P0A1Q2",,,,,,,,,,,,,,,,,,,"Q9X9Y8",,,,,,,,
LHR_ECOLI,,,,,,,,,,,,,,,,,,,,"P96901","Q5Z170","O86821",,,,,,,,
LIGT_ECOLI,"Q9HZY3",,"Q8ZRQ5",,,,,,,,,,,,"O32509",,,"O66967","Q9X2H4",,,"Q9KXL9",,,,,"Q97Z91","Q9YB03",,"Q8U4Q3"""
LIPA_ECOLI,,,,"Q8ZDH0","Q9KTF9","Q5E6V9",,"P44463",,,,,,,,,,,,,,,,,,,,,,
LIPB_ECOLI,,,,,"Q9KTF8","Q5E6V8",,"P44464",,,,,,,,,,,,,,,,,,,,,,
LIVM_ECOLI,"P21628",,"P30296","Q7CKW3",,,,,,,,,,,,,,,,,,,,,,,,,,
LLDD_ECOLI,"Q9HV37",,"Q8ZL61","Q8ZFV8","Q9KKW6",,,"P46454",,,,,,,,,,,,,,,,,,,,,,
LLDP_ECOLI,,,"Q8ZL63",,,,,,,,,,,,,,,,,,,,,,,,,,,
LNT_ECOLI,,,"O87576",,"Q9KTE4","Q5E6U6",,"P44626",,,,,,,,,,,,,,,,,,,,,,
LOLA_ECOLI,,,"Q8ZQD4",,"P57069","Q5E6E5",,"P45263",,,,,,,,,,,,,,,,,,,,,,
LOLB_ECOLI,"P42812",,,,"P57070","Q5E6T5",,"P45270",,,,,,,,,,,,,,,,,,,,,,
LOLE_ECOLI,,,,"Q7CJ05","Q9KQW5","Q5E0B2",,"P44250",,,,,,,,,,,,,,,,,,,,,,
LON_ECOLI,"Q9I2T9",,"Q8ZRB9","Q0WCC8","Q9KQS8","Q5E6Q3",,"P43864","Q9ZD92",,,,,,"Q9RSZ5",,,,,,,,,,,,,,,
LPLA_ECOLI,,,"Q8ZJV1","Q8ZDY2","Q9KS71",,,,,,,,,,,,,,,,,,,,,,,,,
LPLT_ECOLI,,,"Q8ZMA5",,,,,,,,,,,,,,,,,,,,,,,,,,,
LPXA_ECOLI,"Q9AGI6;Q9X6P4",,"P32200","Q8ZH56","Q9KPW4",,,"P43887","Q9ZED5","O25927",,,,,,"O84536","Q9Z7Q4","O66862",,,,,,,,,,,,
LPXC_ECOLI,"P47205",,"Q8ZRT9","Q8ZIE3","Q9KPH2","Q5E2Q6",,"P45070","Q9ZDS1","O25692",,,,,,,,,,,,,,,,,,,,
LPXD_ECOLI,"Q9HXY6",,"P0A1X4","P58611","Q9KPW2","Q5E3E9",,"P43888","Q9ZED3","O24991",,,,,,"O84245","Q9Z8N6","O66817",,,,,,,,,,,,
LPXH_ECOLI,"Q9I2V0",,"Q8ZR69","Q8ZCB8","Q9KQZ7",,,"P44046",,,,,,,,,,,,,,,,,,,,,,
LPXK_ECOLI,"Q9HZM3",,"Q8ZQC2","Q8ZGA8","Q9KQX0","Q5E0F1",,"P44491",,,,,,,,,,,,,,,,,,,,,,
LRHA_ECOLI,,,"Q8ZNE1","Q74T26",,,,,,,,,,,,,,,,,,,,,,,,,,
LRP_ECOLI,,,"P0A2S0","16121655","Q9KQU4","Q5E6E7",,"P45265",,,,,,,,,,,,,,,,,,,,,,
LTAE_ECOLI,"O50178",,"Q8ZQF1","Q7CHH8;16121637","Q9KLH9","Q5E079",,,,,,,,,"Q9RUR9",,,,"Q9X266",,,,,,,,,,"Q9HMP3",
LUXS_ECOLI,,,"Q9L4T0","Q8ZBU3","Q9KUG4",,,"P44007",,"O24931",,"O34667","Q81KF3","P65334","Q9RRU8",,,,,,,,"O50164",,,,,,,
LYXK_ECOLI,,,"Q8ZL78","16123487",,,,"P44991",,,,,,,,,,,,,,,,,,,,,,
MAA_ECOLI,,,"Q8ZRA8",,,,,,,,,"P37515","Q81N16",,,,,,,,,,,,,,,,,
MACB_ECOLI,,,"Q8ZQE4",,,,,,,,,,,,,,,,,,,,,,,,,,,
MAK_ECOLI,,,"Q8ZRE5",,,,,,,,,,,,,,,,,,,,,,,,,,,
MALE_ECOLI,,,"P19576;79095","16123852","Q9KL05",,,,,,,,,,"Q9RWV4",,,,"Q9X0T1;P96106",,,,,,,,,,,"P58300"""
MALF_ECOLI,,,"P26467","Q74RF9","Q9KL06","Q5DZC8",,,,,,,,,,,,,"Q9X0T0",,,,,,,,,,,
MALQ_ECOLI,"Q9I1V2",,"Q8ZLI5","NP_403782","Q9KNF0","Q5DZB7",,"P45176",,,,,,,,,,,,,,,,,,,,,,
MALT_ECOLI,,,"Q8ZLI3","Q8ZJI2","Q9KNF3","Q5DZB5",,,,,,,,,,,,,,,,,,,,,,,,
MALY_ECOLI,,,,,,,,,,,,,,,,,,,,,,"Q9RL51",,,,,,,,
MALZ_ECOLI,,,"Q8ZRE0","16123361",,,,,,,,,,,"Q9RWE6",,,,,,,,,,,,,,,
MANA_ECOLI,,,"P25081","Q8D0I3;45441857",,,,,,,,,,,,,,,,,,,,,,,,,,
MANC_ECOLI,,,"P26340",,,,,,,,,,,,,,,,,,,,,,,,,,,
MAO1_ECOLI,"Q9HYD5",,"Q8ZPE8","Q8ZG09","Q9KSR8",,,,,,,,,,,,,,,,,,,,,,,,,
MAO2_ECOLI,,,"Q9ZFV8","Q0WCN4",,,,"P43837",,,,,,,,,,,,,,,,,,,,,,
MAOC_ECOLI,,,,,,,,,,,,,,,"Q9RRV4",,,,,,,,,,,,,,,
MARB_ECOLI,,,"P0A214",,,,,,,,,,,,,,,,,,,,,,,,,,,
MASY_ECOLI,,,"Q8ZKL4","Q0WAT2;Q8D1U4","Q9KTZ6","Q5E3C8",,,,,,,,,,,,,,,,,,,,,,,,
MBHL_ECOLI,,,"Q8ZP27",,,,,,,,,,,,,,,,,,,,,,,,,,,
MBHM_ECOLI,,,"Q8ZM16",,,,,,,,,,,,,,,,,,,,,,,,,,,
MBHS_ECOLI,,,"Q8ZP28",,,,,,,,,,,,,,,,,,,,,,,,,,,
MCP1_ECOLI,,,"Q8ZJY4",,,,,,,,,,,,,,,,,,,,,,,,,,,
MCP2_ECOLI,,,"P02941",,,,,,,,,,,,,,,,,,,,,,,,,,,
MCP3_ECOLI,,,"Q8ZPA9",,,,,,,,,,,,,,,,,,,,,,,,,,,
MDH_ECOLI,,,"P25077",,,,,,,,,,,,,,,,,,,,,,,,,,,
MDTA_ECOLI,"Q9I0V5",,"Q8ZNQ3","Q8ZCW1",,,,,,,,,,,,,,,,,,,,,,,,,,
MDTB_ECOLI,"Q9I0V6",,"Q8ZNQ2","Q8ZCW0",,,,,,,,,,,,,,,,,,,,,,,,,,
MDTC_ECOLI,"Q9I0V7",,"Q8ZNQ1","Q8ZCV9",,,,,,,,,,,,,,,,,,,,,,,,,,
MDTH_ECOLI,,,,,,,,,,,,,,,"Q9RUS5",,,,,,,,,,,,,,,
MDTK_ECOLI,"Q9I3Y3",,"Q8ZPP2","Q8ZDZ8","Q9KRU4","Q5E4Y6",,"P45272",,,,,,,,,,,,,,,,,,,,,,
MDTL_ECOLI,,,"Q8ZKY1",,,"Q5E8W0",,,,,,,,,,,,,,,,,,,,,,,,
MDTN_ECOLI,"Q1W4Z5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDTO_ECOLI,"Q1W4Z6",,,"Q8CKF3",,,,,,,,,,,,,,,,,,,,,,,,,,
MDTQ_ECOLI,,,"Q7CQ86",,,,,,,,,,,,,,,,,,,,,,,,,,,
MELB_ECOLI,,,"P30878",,,,,,,,,,,,,,,,,,,,,,,,,,,
MENA_ECOLI,,,,"Q0WKJ4",,,,,,,,,,,,,,,,,,,,,,,,,,
MENC_ECOLI,,,"P58486","P58487","Q9KQM6","Q5E484",,"P44961;C64105",,,"AAA96059",,,,,,,,,,,,,,,,,,"Q9HQN7",
MEND_ECOLI,"Q9HYF1",,"Q8ZNE8","Q8ZDN4;Q7CJ76","Q9KQM3","Q5E480",,"P44612",,,,"P23970","Q81K94",,,,,,,"O06421","Q5YPA6",,,,,,,,"Q9HQN3",
MENE_ECOLI,,,"P37418","Q74T56",,"Q5E485",,"P44565",,,,"P96575",,,,,,,,"O06408","Q5YP97",,,,,,,,,
MENH_ECOLI,,,"Q8ZNE9",,,,,"P44611",,,,,,,,,,,,,,,,,,,,,,
MEPA_ECOLI,,,"Q8ZNB0","Q8ZD40",,,,"P44566",,,,,,,,,,,,,,,,,,,,,,
META_ECOLI,,,"P37413","Q8ZAR4","Q9KRM5","Q5E338",,,,,,"P54167","Q6HQ93;Q81JP7","Q97PM9",,,,,"Q9WZY3",,,,,,,,,,,
METB_ECOLI,,,"Q8ZKN5","Q74Y55","Q9KNP8","Q5E2I4",,,,,,,,,,,,,,,,,,,,,,,,
METC_ECOLI,,,"79060;P18949","Q8ZI35","Q9KRH1","Q5E5L5",,"P44527",,,,,,,,,,,,,,,,,,,,,,
METE_ECOLI,"P57703",,"Q9L6N1","Q8ZAL3","Q9KRD8","Q5E430",,"P45331",,,,,,,,,,,,,,,,,,,,,,
METF_ECOLI,,,"P11003","Q7CL17","Q9KNP6","Q5E2E2",,"P45208",,,,,,,,,,,,,,,,,,,,,,
METH_ECOLI,"Q9I2Q2",,"79040;P37586","Q7CLE0;16123860","Q9KUW9","Q5E814",,"Q57195",,,,,"Q81LY1",,"Q9RVQ6",,,,"Q9WYA5","O33259",,"Q9EWH3",,,,,,,,
METJ_ECOLI,,,"P06203","Q8ZJI8","Q9KNP9","Q5E2I3",,"P44618",,,,,,,,,,,,,,,,,,,,,,
METK_ECOLI,"Q9I5Z0",,"P66764","Q8ZHG7","Q9KUP3","Q5E7R2",,"P43762","P56878","P56460",,,,,,,,,"Q9X1Y8","P77899",,"Q9L0Y3",,,,,,,,
METN_ECOLI,,,"Q8ZRM9","Q8ZH38","Q9KTJ5","Q5E715",,"P44785",,,,,,,,,,,,,,,,,,,,,,
METQ_ECOLI,,,"Q8ZRN1",,,,,,,,,,,,,,,,,,,,,,,,,,,
MGLA_ECOLI,,,"P23924",,"Q9KSD1",,,"P44884",,,,,,,,,,,,,,,,,,,,,,
MGSA_ECOLI,,,,"Q8ZG71","Q9KLN2",,,"P45120",,,,"P42980","Q81ST9",,,,,,"Q9X0R7",,,,"O51339",,,,,,,
MHPE_ECOLI,,"Q83V29",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAA_ECOLI,"Q9HUL9",,"P37724",,"Q9KV12","Q5E2C7",,"P44495",,"O25961",,,,,"Q9RTR6",,,,,,,,,,,,,,,
MINC_ECOLI,"Q9HYZ7",,,"Q8ZES5","Q9KQN9","Q5E447",,,,,,,,,,,,"O67034","Q9X0D7",,,,,,,,,,,
MIND_ECOLI,"Q9HYZ6",,"Q8ZP10","Q8ZES6","Q9KQN8","Q5E446",,,,"O25098",,,,,"Q9RWB7",,,,,,,,,,,,,,,
MINE_ECOLI,"Q9HYZ5",,"P65363","Q8ZES7","Q9KQN7","Q5E445",,,,,,,,,,,,,,,,,,,,,,,,
MIOC_ECOLI,"Q9HYH1",,,"16120354;NP_403667","Q9KVY6","Q5E900",,"P44813",,,,,,,,,,,,,,,,,,,,,,
MLC_ECOLI,,,"Q8ZPK7","Q8D0I0;Q74TS7","Q9KQJ1","Q5E080",,,,,,,,,,,,,,,,,,,,,,,,
MLRA_ECOLI,,,"P58398",,,,,,,,,,,,,,,,,,,,,,,,,,,
MLTA_ECOLI,,,,"Q7CH02","Q9KPQ4","Q5E7B4",,,,,,,,,,,,,,,,,,,,,,,,
MLTB_ECOLI,"Q9HVX3",,"Q7CPY6","Q7CJD8",,,,,,,,,,,,,,,,,,,,,,,,,,
MMUM_ECOLI,,,,,,,,,,,,"O31463",,,,,,,,,,,,,,,,,,
MMUP_ECOLI,,,,,,,,,,,,"O31462",,,,,,,,,,,,,,,,,,
MNMA_ECOLI,"Q9I0L2",,"Q8ZPZ4",,"Q9KSX8","Q5E3W7",,"P44551",,,,,,,,,,,,,,,,,,,,,,
MNMC_ECOLI,"Q9HYF0",,"Q8ZNB2",,"Q9KQ91","Q5E450",,"P44246",,,,,,,,,,,,,,,,,,,,,,
MNME_ECOLI,"Q9HT07",,"Q8ZKY3","Q8Z9U2","Q9KVY5","Q5E8Z9",,"P43730","Q9ZCI1",,,"P25811","Q81JD9","Q97R24",,,,"O67030","Q9WYA4",,,,,,,,,,,
MNMG_ECOLI,"Q9HT09",,"Q8ZKW6",,"Q9KNG4","Q5E1M6",,"P44763",,,,,,,,,,,,,,,,,,,,,,
MOAA_ECOLI,,,,"Q8ZGW5","Q9KT81","Q5E6B1",,"P45311",,,,,,,,,,,,,,,,,,,,,,
MOAB_ECOLI,,,,,"Q9KT80",,,,,,,,,,,,,,,,,,,,,,,,,
MOAC_ECOLI,,,"Q8ZQQ1","Q8ZGW4","Q9KT79","Q5E6B0",,"P45310",,,,,,,,,,,,,,,,,,,,,,
MOAD_ECOLI,,,"Q8ZQQ0","Q7CH70;16121457","Q9KT78","Q5E6A9",,"P45309",,,,,,,,,,,,,,,,,,,,,,
MOAE_ECOLI,,,,"Q8ZGW2","Q9KT77","Q5E6A8",,"P45308",,,,,,,,,,,,,,,,,,,,,,
MOBA_ECOLI,,,"Q8ZKU9","Q8ZJS4","Q9KRV8","Q5E4Z6",,"P44899",,,,,"Q81KI4",,"Q9RWM1",,,,,,,,,,,,,,,
MOBB_ECOLI,,,"Q8ZKV0","Q8CZM2",,,,"P44902",,,,,,,,,,,,,,,,,,,,,,
MODA_ECOLI,,,"Q8ZQR7","Q8ZGX8;Q8D002;Q0WHQ4","Q9KLL7","Q5E0T6",,"282105;P45323",,,,"O32208",,,,,,,,,,,,,,,,,,
MODB_ECOLI,,,"Q7CQW7",,"Q9KLL8","Q5E0T5",,"P45322",,,,,,,,,,,,,,,,,,,,,,
MODC_ECOLI,,,"Q8ZQR6","Q8ZGX6","Q9KLL9","Q5E0T4",,"P45321",,,,,,,,,,,,,,,,,,,,,,
MODE_ECOLI,,,"Q8ZQR8","P58497",,,,"P45324",,,,,,,,,,,,,,,,,,,,,,
MOEA_ECOLI,,,"Q56066",,"Q9KLX4","Q5E4E3",,"P45210",,,,,,,,,,,,,,,,,,,,,,
MOEB_ECOLI,,,"Q56067","16121767;Q8D069","Q9KLX3","Q5E4E2",,"P45211",,,,,,,,,,,,,,,,,,,,,,
MOG_ECOLI,,,"Q8ZS15","16120793",,,,"P44645",,"P56421",,,,,,,,"O66472",,,,,,,,,,,,
MOTA_ECOLI,,,"P55891","Q7CIY9",,,,,,,,,,,,,,,,,,,,,,,,,,
MPGP_ECOLI,,,"P65417",,,,,,,,,,,,,,,,,,,,,,,,,"Q9YDM7",,"Q8U381"""
MPL_ECOLI,"Q9HX07",,"Q8ZK66","NP_406978;16123665","Q9KP37","Q5E886",,"P43948",,,,,,,,,,,,,,,,,,,,,,
MPPA_ECOLI,,,"Q8ZP68","16122563",,,,,,,,,,,,,,,,,,,,,,,,,,
MQSR_ECOLI,,,,"Q74QA6",,,,,,,,,,,,,,,,,,,,,,,,,,
MRAZ_ECOLI,"Q9HVZ4",,,,,,,"P45056",,,,,,,,,,,,,,,,,,,,,,
MREC_ECOLI,"Q9HVU1","Q9RH82","Q8ZLP3","Q7CL66","Q9KUU9","Q5E7X8",,"P44475","Q9ZCH5",,,,,,,,"Q9Z7G6;Q9JSB0",,,,,,,,,,,,,
MRR_ECOLI,,,"Q8ZJY7",,,,,,,,,,,,"Q9RWS8",,,,,"P95025",,,,,,,,,,
MSRA_ECOLI,"Q9HUF1",,"Q8ZK71","Q8ZB94",,,,,,,,,,,,,,,,,,,,,,,,,,
MTFA_ECOLI,"Q9HWZ7",,"Q8ZNS5","Q7CHU1",,,,,,,,,,,,,,,,,,,,,,,,,,
MTGA_ECOLI,,,"Q8ZLR7","Q8ZB72",,,,"P44890",,,,,,,,,,,,,,,,,,,,,,
MTNN_ECOLI,,,,"16123533","Q9KPI8",,,"P45113",,,,"O32028",,"Q97R43",,,"Q9Z8V2;Q9JS15",,,,,,"O51534;O50162;O50860;Q9F952",,,,,,,
MTOX_ECOLI,,,"P58525","P58526",,,,,,,,,,,,,,,,,,,,,,,,,,
MUG_ECOLI,,,,,,,,,,,,,,,"Q9RWF4",,,,,,,"Q9K3I5",,,,,,,,
